,Term_Frequency
the,997647
and,968549
a,956051
i,952669
it,939278
to,938049
this,880113
is,836619
for,820605
of,804277
in,737514
that,723054
but,693367
with,691539
my,678056
on,672741
have,650381
not,634969
was,601642
you,590086
so,564475
-,539459
as,527604
be,513973
one,498784
are,487663
if,482887
can,467767
all,465695
at,463934
just,454618
),454275
or,447735
(,443852
very,441073
great,434942
like,434099
when,429204
from,420911
up,420034
would,410882
out,410042
good,405820
had,399039
will,396051
has,392185
use,387331
more,384680
about,382846
no,378312
get,377223
me,376246
only,370508
there,368027
than,347349
they,341116
what,338813
well,336590
other,325638
do,323879
time,321041
also,314404
some,311763
even,308317
really,303581
don,296627
which,294770
much,294725
because,292620
your,291166
after,287625
first,277340
by,263831
any,258849
:,254668
does,252243
/,251463
been,245038
off,244210
am,243122
could,242974
now,242767
them,240344
then,240044
2,238456
still,236773
work,233545
little,230734
used,230174
over,227312
back,226628
price,224443
bought,221826
ve,221280
too,220720
how,220342
using,219116
did,218526
better,217265
new,213553
into,213044
two,212648
want,212611
way,210685
love,209952
were,207829
quality,207767
easy,207666
while,206499
need,203814
go,198367
3,196612
works,195253
most,193765
few,193297
make,192956
got,192699
product,191743
read,190668
buy,190421
camera,187326
before,185852
think,184486
its,184348
?,183899
4,183852
we,183843
1,183205
see,183037
take,182153
best,181843
5,179116
down,179100
these,178644
know,175318
their,174476
who,173110
long,172516
thing,172292
many,169802
without,169704
find,168857
since,167993
doesn,166386
small,165074
enough,165031
same,164951
lot,164080
around,164024
didn,163945
nice,163785
right,161461
screen,159847
another,159693
never,159129
$,158189
made,155250
should,155046
recommend,154564
old,154040
where,153109
however,152594
through,151332
going,150605
something,150414
makes,149909
amazon,149651
problem,148536
far,147683
put,147677
say,146453
bit,146055
those,145606
set,144749
found,143598
though,143223
light,141453
every,141295
reviews,140830
years,140131
being,140062
again,140025
looking,138130
day,137065
able,136862
things,135490
keep,134487
pretty,134344
people,133526
everything,132963
feel,132918
review,132041
video,131547
hard,131303
book,130983
point,129118
end,127921
both,127374
look,126852
big,126498
battery,126130
high,125359
having,124966
sure,124875
come,123506
purchased,122115
give,119996
here,119900
;,119382
actually,119059
last,118864
phone,116982
ever,116442
once,115990
bad,115707
full,115595
fast,114679
wanted,114602
less,113705
getting,113407
life,112874
fine,112757
may,112229
different,112145
comes,111764
quite,111426
year,110804
times,110437
happy,109591
seems,109288
almost,109160
always,108035
perfect,107832
looks,106148
our,106055
away,105919
took,105830
own,105427
why,104694
reading,104626
easily,104553
such,104478
size,104408
overall,104281
next,103943
thought,103575
might,103291
he,103255
anything,103232
power,103230
money,101663
yet,101147
6,101031
pictures,100675
won,100645
case,100515
said,99952
10,99896
side,99303
probably,99165
purchase,98229
try,97839
home,97536
came,96804
top,96643
worth,96488
second,95601
months,95240
features,94736
feature,94504
problems,93833
8,93535
story,93448
hold,93060
either,92734
between,92217
low,91523
excellent,91231
takes,91019
computer,90245
days,89717
picture,89567
fit,89539
nothing,89418
several,88585
each,88574
needed,88468
isn,88410
tried,88393
button,88198
especially,88045
already,87503
hand,87425
his,87337
fact,87272
etc,87251
couple,87156
short,87106
job,86152
issue,86140
turn,85573
start,85219
longer,84299
until,83673
instead,83442
done,83217
part,82990
free,82769
sound,82678
real,82620
least,82600
let,82480
three,82421
unit,82094
must,81971
cheap,80484
buying,80100
left,80077
extra,79581
under,79307
simple,79273
worked,79250
box,79188
deal,79005
she,78191
setting,77863
trying,77710
card,77643
bottom,77623
play,77477
7,76951
anyone,76737
stars,76417
tv,76328
minutes,75555
others,75470
laptop,75336
working,75188
device,74988
quickly,74815
went,74403
&,73594
seem,73337
definitely,73244
lens,73057
place,73020
large,72739
maybe,72580
open,72079
line,72064
model,72054
player,72037
version,71939
cable,71678
else,71600
itself,71256
settings,70430
update,70093
experience,69736
her,69650
books,69539
tell,69327
highly,69269
clean,68661
water,68567
taking,68494
usb,68036
bag,67664
machine,67381
canon,67295
available,67191
yes,66858
user,66686
quick,66530
issues,66442
manual,66304
needs,66167
making,65880
wish,65863
received,65616
help,65497
main,65330
inside,65318
haven,64795
started,64727
although,64462
