,Term_Frequency
the,10548
and,10243
it,10233
to,10048
a,9923
i,9670
this,8871
for,8761
is,8556
of,8281
that,7809
not,7548
but,7118
with,7062
on,7011
my,7010
in,6826
you,6649
so,6623
be,6315
as,6220
one,6174
have,6111
was,6061
can,5864
at,5814
-,5765
about,5762
if,5584
are,5488
good,5465
has,5421
only,5359
also,5289
me,5185
will,5174
than,5095
well,5044
like,4921
get,4828
(,4774
very,4761
),4739
or,4666
more,4662
when,4649
do,4643
from,4612
/,4557
out,4504
even,4448
after,4432
other,4424
no,4410
am,4339
really,4330
just,4294
there,4254
what,4213
all,4182
much,4156
some,4155
your,4132
would,4063
great,3898
up,3898
any,3893
they,3883
best,3874
use,3795
many,3779
then,3771
read,3759
by,3721
don,3706
high,3687
does,3648
which,3622
camera,3591
bought,3583
had,3567
using,3549
quality,3493
time,3450
two,3448
few,3412
made,3373
need,3354
because,3299
most,3256
people,3250
line,3244
less,3229
over,3229
generally,3224
we,3218
how,3182
wanted,3164
little,3140
make,3127
didn,3125
minor,3118
its,3109
them,3082
take,3073
seconds,3030
another,3023
still,3020
looking,2982
issues,2963
makes,2938
being,2928
speeds,2925
10,2913
end,2882
again,2881
video,2869
way,2865
did,2854
takes,2840
though,2831
gets,2826
looks,2826
story,2816
low,2809
who,2805
bit,2797
everything,2794
same,2758
shots,2750
photo,2730
small,2715
couple,2711
come,2699
issue,2693
their,2690
problem,2673
write,2663
give,2663
card,2640
were,2637
nice,2630
speed,2625
seems,2619
may,2613
taking,2596
slow,2582
almost,2574
day,2565
second,2560
person,2556
see,2545
shot,2539
photos,2539
note,2539
noted,2539
cards,2539
specific,2539
canon,2539
portion,2539
accurate,2539
vs,2539
far,2537
quickly,2527
handle,2517
reviews,2500
between,2497
where,2487
price,2480
level,2476
want,2471
these,2466
cameras,2456
fast,2437
might,2411
happens,2411
found,2375
doesn,2370
ever,2364
longer,2363
sometimes,2362
full,2361
won,2358
bottom,2352
non,2350
left,2347
smaller,2330
%,2312
focus,2293
bigger,2291
without,2280
weight,2277
look,2273
hand,2272
light,2270
set,2267
while,2267
needs,2266
ve,2265
often,2263
soft,2263
close,2260
greatly,2259
matter,2254
hopefully,2252
sized,2243
medium,2243
seemed,2243
quite,2241
becomes,2239
quick,2235
through,2232
enlargements,2226
8,2226
sharp,2226
shutter,2226
perhaps,2226
zoom,2226
mp,2226
although,2217
help,2208
color,2191
inside,2191
fact,2180
took,2174
sure,2171
experience,2162
work,2150
things,2141
tests,2139
gap,2131
seem,2131
amount,2131
peep,2131
notice,2131
product,2127
go,2120
certainly,2120
easier,2120
case,2113
sony,2109
images,2099
happy,2087
2,2082
simply,2077
pictures,2072
lighter,2064
edge,2056
luck,2056
guess,2056
holding,2056
expensive,2056
dslr,2051
flash,2051
three,2039
buy,2022
struggle,2018
available,2014
decided,2010
dark,2007
different,2000
above,1995
choose,1992
regular,1992
net,1991
fingers,1981
side,1971
always,1965
rather,1964
actually,1964
became,1963
okay,1950
compared,1940
replacement,1940
under,1940
common,1940
similar,1929
heavy,1928
poor,1923
reason,1923
purpose,1921
now,1913
remember,1912
somewhere,1912
videos,1911
those,1909
third,1906
picture,1897
noticeable,1895
effect,1895
pop,1894
difference,1886
none,1884
grip,1878
appears,1878
super,1871
respect,1840
whether,1840
zippy,1840
rapidly,1840
maintaining,1840
enlargement,1840
speedthis,1840
20x,1840
autofocus,1840
editing,1840
chip,1840
capturing,1840
lag,1840
state,1840
accurately,1840
photographic,1840
remain,1840
type,1840
photographer,1840
enlarge,1840
vibrancy,1840
apart,1840
fi,1840
enlarging,1840
awkward,1840
18,1840
whomever,1840
hierarchy,1840
picturesif,1840
present,1840
cropping,1840
50,1840
effective,1840
decent,1840
tremendous,1840
24,1840
camcorder,1840
4x6,1840
viewable,1840
faster,1840
painting,1840
strip,1840
indicate,1840
hx30,1840
comparison,1840
reviewers,1840
couldn,1840
outside,1840
zx20,1840
accepted,1840
superzoom,1840
zoomed,1840
outdoor,1840
poorest,1840
searching,1840
sound,1840
smooth,1840
produce,1840
jerky,1840
18mp,1840
stretch,1840
capable,1840
60,1840
vibrant,1840
variants,1840
handles,1840
felt,1840
professional,1840
raised,1840
5x7,1840
thinner,1840
contrast,1840
watched,1840
decide,1840
worst,1840
lightif,1840
lightin,1840
vivid,1840
instantaneous,1840
slightly,1840
noticeably,1840
differences,1840
imatest,1840
returns,1840
suited,1840
prints,1840
shines,1840
rubber,1840
settled,1840
deteriorate,1840
worse,1840
hold,1840
watercolor,1840
edit,1840
based,1840
indoor,1840
records,1840
competitive,1840
distracting,1840
speaking,1840
sunny,1840
remains,1840
onto,1840
pocket,1840
constant,1840
each,1840
writes,1840
front,1840
went,1840
despite,1840
manet,1840
handling,1840
somewhat,1840
tone,1840
various,1840
shadows,1840
solid,1840
hx20v,1840
crop,1840
consistently,1840
x,1840
observations,1840
wi,1840
larger,1840
verdict,1840
sx260,1840
result,1840
panasonic,1840
existent,1840
c,1840
both,1840
softer,1840
conditions,1840
pixel,1840
insidetaking,1840
colors,1840
lightall,1840
mentioned,1840
focusing,1840
detracted,1840
varies,1840
closer,1840
gps,1840
record,1840
tad,1840
fuller,1840
miss,1840
hissing,1840
frames,1840
instances,1840
merchants,1840
areas,1840
nitpicky,1840
conclusionsnone,1840
per,1840
blazingly,1840
comparable,1840
significant,1840
tech,1840
subjective,1840
react,1840
claude,1840
zs19,1840
clearly,1840
fairly,1840
since,1834
off,1828
long,1815
new,1781
:,1778
before,1729
love,1697
enough,1691
works,1665
1,1645
big,1568
days,1558
amazon,1525
first,1482
down,1463
too,1454
5,1434
4,1407
into,1397
our,1394
itself,1387
large,1382
back,1356
overall,1328
finally,1313
used,1287
ago,1268
6,1268
easy,1267
perfect,1263
3,1245
fit,1243
got,1216
package,1205
?,1165
stuff,1147
pack,1145
according,1136
right,1124
battery,1112
book,1110
32,1102
major,1102
understand,1101
around,1084
however,1082
keep,1060
least,1048
;,1044
deal,1038
his,1023
months,1012
he,1012
15,1012
put,1005
every,1001
due,998
reader,990
relatively,990
minutes,979
purchased,978
should,977
life,967
own,953
plan,941
research,925
raw,910
instead,905
month,902
program,890
shoulder,889
doing,877
finished,872
rely,868
half,865
year,862
lot,850
whole,832
reading,827
means,824
review,823
usb,822
phone,817
travel,814
cheap,814
otherwise,809
data,805
maybe,802
waiting,799
hard,797
achieve,793
fully,789
carried,789
wide,789
$,787
working,787
port,785
9,785
stars,779
connected,772
today,770
already,768
carry,762
amazing,760
could,757
loved,756
memory,755
service,754
last,745
nikon,745
here,744
basic,744
shooting,744
once,738
+,737
performance,733
real,732
00,732
bad,727
device,727
value,727
allows,727
recording,725
backpack,723
highly,723
years,721
slight,721
know,709
began,705
adjustable,705
developed,702
earth,700
please,699
conclusion,699
recently,699
mode,699
9mb,699
designation,699
continuous,699
opinion,699
w,699
disregarded,699
claimed,699
hd,699
ahead,699
buffering,699
minimum,699
4the,699
appear,699
purposes,699
rebel,699
process,699
correct,699
75,699
10mb,699
goal,699
[,699
66x,699
32gb,699
justify,699
message,699
define,699
tested,699
option,699
bursts,699
breaker,699
(i,699
static,699
5183x3456,699
defined,699
recommends,699
wikipedia,699
30fps,699
s,699
determine,699
h2w,699
associated,699
backup,699
considerably,699
superfine,699
class,699
files,699
recorded,699
113,699
sdhc,699
mbyte,699
simulation,699
=,699
techie,699
sreading,699
warning,699
strongly,699
17,699
wiki,699
t3i,699
*,699
fat,699
skip,699
r,699
appropriate,699
multiple,699
v1,699
],699
15378,699
important,699
rating,699
results,699
higher,699
web,699
1920x1080,699
cannot,699
file,699
h2testw,699
5184x3456,699
structure,699
133x,699
15379,699
maximum,699
20mb,699
writing,699
optimum,699
test,699
verify,699
sh2testw,699
0,699
sandisk,699
primary,699
errors,699
reported,699
slowed,699
minimums,699
update,699
classes,699
rated,699
updates,699
micromate,699
following,699
check,699
delete,699
integrity,699
claims,699
capacity,699
t2i,699
achieving,699
testing,699
exceeds,699
sddr,699
sd,699
walk,694
tell,694
next,694
able,693
recommend,691
been,691
ordered,685
race,677
say,673
piece,671
plus,668
him,666
worth,658
strap,647
something,646
straps,645
fall,645
customer,641
old,633
internet,632
leave,619
her,619
size,615
problems,613
perfectly,610
lenses,609
water,609
hours,609
needed,598
hour,594
necessary,590
yarn,590
yet,589
charge,587
smell,582
believe,573
20,569
such,568
yes,564
tendency,564
bag,563
running,560
items,559
squeeze,555
received,551
must,548
dogs,544
charcoal,544
coffee,543
400,541
shows,540
why,534
film,534
buying,528
science,527
care,523
easily,522
item,518
brand,517
idea,513
switch,511
pleased,511
300,510
cause,509
fits,506
clean,502
keyboard,501
cool,500
screen,492
setting,492
load,492
thing,491
compact,491
find,489
giving,486
installed,483
overcome,477
interesting,476
charged,472
spent,469
material,468
hoping,468
forward,468
think,464
design,464
workout,461
myself,460
fiction,460
ones,457
uses,452
trying,452
choice,451
getting,449
advice,449
top,446
impressed,446
kept,442
change,441
con,435
interest,435
pay,434
improved,432
provided,431
hot,431
lens,431
taste,427
going,427
cup,427
filter,427
maker,427
useful,420
consumer,419
liked,418
burning,412
kitchen,412
feature,410
traditional,409
mug,405
having,405
ok,404
solution,403
cost,403
summer,403
therefore,403
shipping,403
oz,403
until,403
eligible,403
harder,403
separation,403
bonus,403
packs,403
saddlebags,403
answers,403
